equipement,categorie,marque,referenceFabricant,gtin,fournisseur,logoFournisseur,image
"Ecrou hexagonal Acier Droit Brut 8 7/8","Fournitures industrielles et outillage","","","","Manutan SA","Manutan","https://placehold.co/240x180/png?text=Ecrou"
"COFFRET INLINE 4000X200X80MM","Accessoires d'installation electrique","RS PRO","122147","5056070942707","RS Components SAS","RS","https://placehold.co/240x180/png?text=Coffret"
"FUSIBLE GL/GG 40 A","Fusibles","Mersen","J213609","8430399009179","RS Components SAS","RS","https://placehold.co/240x180/png?text=Fusible"
"CABLE D'ENERGIE CONNECTORISE","","Siemens","6FX70025EA481EK0","","Siemens Digital Industries Spare Parts Services","Siemens","https://placehold.co/240x180/png?text=Cable"
"Gants de travail pack x12 taille 8 - 2270394800128","Securite","","","","Manutan SA","Manutan","https://placehold.co/240x180/png?text=Gants"
"ETAGERE 1MX320MM","Stockage et rayonnage","RS PRO","231440","5056070969056","RS Components SAS","RS","https://placehold.co/240x180/png?text=Etagere"
"Alphashield S1BH Small","Vetements de protection","Alpha Solway","Alphashield S1BH S","","RS Components SAS","RS","https://placehold.co/240x180/png?text=Protection"
"Connecteurs pour CI pas < 5mm - Weidmuller","PROCESS INDUSTRIEL","Weidmuller","","4050118549942","Rexel France","Rexel","https://placehold.co/240x180/png?text=Connecteur"
"500VA VALUE UPS","Alimentations ininterruptibles","OPTI","TS500B","5056070937161","RS Components SAS","RS","https://placehold.co/240x180/png?text=UPS"
"CABLE DE SIGNAUX PREEQUIPE","","Siemens","6FX50022DC101DB5","","Siemens Digital Industries Spare Parts Services","Siemens","https://placehold.co/240x180/png?text=Signal"
"ENTRETOISE POUR 3SE66..-2CA0.","","Siemens","3SX56002GA02","4047621002682","Siemens Digital Industries Spare Parts Services","Siemens","https://placehold.co/240x180/png?text=Entretoise"
"RONFLEUR 230V AC","","Siemens","8WD42500FA","4011209375154","Siemens Digital Industries Spare Parts Services","Siemens","https://placehold.co/240x180/png?text=Ronfleur"
"DC/DC Converter Isolated 12V 3W","Convertisseurs DC-DC","XP Power","JCE0312S12-H","5059039966233","RS Components SAS","RS","https://placehold.co/240x180/png?text=DC-DC"
"TEN15-2411WI DC-DC,9-36V in 5.1V out,15W","Convertisseurs DC-DC","TRACOPOWER","TEN 15-2411WI","5059039871971","RS Components SAS","RS","https://placehold.co/240x180/png?text=Convertisseur"
"SITRANS TH400 PA Transmetteur de temp.","","Siemens","7NG32140AN00","4019169842013","Siemens Digital Industries Spare Parts Services","Siemens","https://placehold.co/240x180/png?text=Transmetteur"
"Courroie dentee synchrone cable acier largeur 16 mm","Fournitures industrielles et outillage","","","","Manutan SA","Manutan","https://placehold.co/240x180/png?text=Courroie"
"Connecteur femelle 8 contacts 2,54mm CMS","Adaptateurs et supports de circuits integres","Preci-Dip","801-87-008-40-001191","5059045912491","RS Components SAS","RS","https://placehold.co/240x180/png?text=Connecteur+CMS"
"VZWD-L-M22C-M-N14-60-V-2AP4-4 solenoid v","Distributeurs et vannes pneumatiques","Festo","VZWD-L-M22C-M-N14-60-V-2AP4-4","4052568107147","RS Components SAS","RS","https://placehold.co/240x180/png?text=Vanne"
"1800 RRR000 1101 000 - Gefran","PROCESS INDUSTRIEL","Gefran","","","Rexel France","Rexel","https://placehold.co/240x180/png?text=Gefran"
"IR Chip LED 2.0x1.25mm","LED et Accessoires","Kingbright","KP-2012SF4C","5059041530118","RS Components SAS","RS","https://placehold.co/240x180/png?text=LED"
